id,name,host_id,host_name,zip_code,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
l_579930049387493376,"Lodge at Capps Lake
Helene: Relief Workers Welcome",h_449003537,Marc,28704,South Asheville,35.44757,-82.50226,Entire home/apt,115,2,106,2025-05-10,2.72,1,313,13
l_581843085257776768,Home away from home to be with friends and family!,h_4634736,Bradley,28804,South Asheville,35.63567,-82.58601,Entire home/apt,,3,39,2024-09-29,1,2,0,2
l_582495099276506624,Log Cabin in Blue Ridge Mountains Near Asheville,h_96187307,Yonder,28732,Fletcher,35.4841206,-82.473334,Entire home/apt,125,1,12,2025-05-31,0.33,50,348,2
l_582665276472244736,"Location, location, location! 1/2 mi to Biltmore!",h_19258200,Nancy,28803,Tuxedo Park,35.56734,-82.53114,Entire home/apt,,1,6,2023-12-31,0.17,1,144,0
l_583243401554856704,Cozy suite with private entrance,h_3414106,Kate,28806,West Asheville,35.57686,-82.62371,Private room,68,1,74,2025-06-07,3.54,1,228,27
l_583496461835542400,Serene Getaway in S. Asheville Near Everything!,h_27761310,Chris,28803,Tuxedo Park,35.49568,-82.5029,Entire home/apt,142,2,119,2025-05-29,3.15,1,337,30
l_583867686874028288,The Look Out Trail at River Row Flats,h_250328755,"River Row Flats, Inc",28806,West Asheville,35.58726,-82.57456,Entire home/apt,127,1,24,2025-05-26,0.61,15,161,4
l_584595916036589568,Grand Victorian home --walk to downtown,h_96578517,Yael,28801,Downtown Asheville,35.60084,-82.56113,Entire home/apt,464,3,4,2023-07-30,0.11,1,176,0
l_585978338904685440,"Private, safe, and clean near Biltmore",h_406392081,James,28803,Tuxedo Park,35.56126,-82.51681,Entire home/apt,75,1,66,2025-06-01,1.74,1,342,14
l_586139757720604160,Newly Renovated- 5min- Downt. /Biltmore Estate,h_125587791,Agnes,28805,East Asheville,35.59116,-82.53508,Entire home/apt,151,2,6,2025-06-08,0.16,2,179,1
l_587158049597481728,Cozy modern home near Biltmore Estate&River Arts.,h_104482572,Shidonna,28803,Tuxedo Park,35.55493,-82.53159,Entire home/apt,199,3,17,2024-06-25,0.68,1,365,1
l_587875188664208512,Cozy 1 bedroom home in a great area,h_115676434,James,28704,South Asheville,35.47477,-82.51538,Private room,52,1,8,2024-09-30,0.21,1,289,2
l_588388462295176832,"Three King Bedrooms, Terrace, and Private Elevator",h_167186184,Towns,28801,Downtown Asheville,35.58739,-82.55331,Entire home/apt,333,2,56,2025-05-15,1.43,108,344,19
l_588559050060230528,🔥 Tranquil Mountain Cottage in East Asheville ⛰,h_2097107,Drew,28803,Tuxedo Park,35.54881,-82.49165,Entire home/apt,140,2,38,2024-09-14,0.97,1,365,2
l_590004989672538368,Hickory Hilltop Hideaway • Sauna • 15 to AVL,h_280722569,Brandon,28806,West Asheville,35.59179,-82.6274,Entire home/apt,82,1,160,2025-06-08,4.32,2,108,49
l_591230873312834304,"4BR Home Minutes to Downtown, RAD & Biltmore",h_442004854,Buna,28704,South Asheville,35.47590637207031,-82.50494384765625,Entire home/apt,125,2,60,2025-06-01,1.79,2,317,9
l_591347919902153728,Kenilworth Tudor w/full kitchen near Biltmore,h_102533796,Patricia Culler,28803,Tuxedo Park,35.57539,-82.53505,Entire home/apt,104,2,164,2025-06-10,4.44,1,221,52
l_591960600601075712,Cottage 5 min to Biltmore Estate or 10 to Downtown,h_27748033,Christine,28803,Tuxedo Park,35.55403,-82.51381,Entire home/apt,126,3,214,2025-06-04,5.65,1,233,62
l_591991014797767424,Historic Montford Home,h_2066301,Tony,28801,Downtown Asheville,35.60171,-82.55878,Entire home/apt,,30,0,,,1,172,0
l_593332128562974080,Chic AVL Getaway – Minutes to Biltmore & DWTN,h_268445857,Amanda,28803,Tuxedo Park,35.54914855957031,-82.50697326660156,Entire home/apt,129,2,128,2025-06-14,3.3,1,333,25
l_593399979902305792,Asheville Airstream & Hot Tub,h_392734293,Strawflower Rentals,28806,West Asheville,35.57575,-82.64047,Entire home/apt,98,1,71,2025-05-25,3.19,2,365,28
l_594684999868790912,Cute as can be! 2Bd-1Ba 10min from town (the nest),h_32353603,Tony,28804,South Asheville,35.62418,-82.6048,Entire home/apt,,1,101,2024-06-08,2.81,1,0,0
l_594880254323625344,Cozy Mountain Home in the Blue Ridge Near Biltmore,h_310530406,Robin,28704,South Asheville,35.4649,-82.57046,Entire home/apt,149,2,40,2024-06-24,1.04,1,320,1
l_596178008430855168,Adorable Detached Studio Minutes from Downtown,h_443391933,Lindsey,28804,South Asheville,35.61768,-82.55109,Entire home/apt,94,2,84,2025-06-01,2.16,1,152,9
l_598316916229927040,"Land & Lower Level, Private Natural Beauty",h_326723806,Meredith,28805,East Asheville,35.65138,-82.4662,Entire home/apt,97,2,1,2022-05-01,0.03,1,83,0
l_598443680410978432,"Stunning, Light filled, 3-4 BR 3 Bath Luxury Home",h_5594285,Elliot,28801,Downtown Asheville,35.58776,-82.56444,Entire home/apt,,30,0,,,1,58,0
l_598540165238320896,"White Oak|3 Bed Pad|10min DT,Biltmore,WAVL",h_232831690,Jon,28715,Candler,35.56012,-82.65183,Entire home/apt,147,2,144,2025-06-13,3.71,8,224,34
l_598647640177093120,"Stylish, secluded cabin—5mi to Biltmore, downtown",h_115308482,Allison,28805,East Asheville,35.60997772216797,-82.51264190673828,Entire home/apt,278,1,98,2025-06-02,3.24,1,217,25
l_600576477040168320,"The SWEET SPOT!  Huge Porch, By River, Near Town!",h_79487631,Scott,28804,South Asheville,35.62746,-82.58249,Entire home/apt,105,1,209,2025-06-15,5.57,1,243,48
l_600644787336850304,New Bright and Airy Home in Ideal Spot!,h_200250719,Linda,28806,West Asheville,35.56831,-82.61199,Entire home/apt,,90,0,,,1,358,0
l_600696167248419968,Cozy Historic Montford with Spa Bathroom,h_24677932,Rachael,28801,Downtown Asheville,35.6024,-82.5688,Entire home/apt,,1,76,2024-09-15,1.99,1,0,7
l_602348265963130624,Silver's Sunset Suite #2,h_453701957,Dennis & Betsy,28806,West Asheville,35.62375,-82.63857,Private room,70,1,0,,,2,269,0
l_602348590325459968,Silver's Sunset Suite,h_453701957,Dennis & Betsy,28806,West Asheville,35.623,-82.63808,Private room,75,1,18,2024-01-09,0.53,2,135,0
l_602689442984691584,Town Mountain Breeze by CM | Hot Tub & Fire Pit,h_134903005,Carolina Mornings,28804,South Asheville,35.62787628173828,-82.525634765625,Entire home/apt,351,2,36,2025-06-08,0.93,46,16,9
l_602906967916854272,Hilltop Cottage- New! - Kitchen-Near Tesla Chg.,h_267251966,Samuel,28806,West Asheville,35.52485,-82.61044,Entire home/apt,128,2,86,2025-06-01,2.26,4,174,13
l_604391804107894656,Updated Asheville Studio - Walk to downtown & UNCA,h_14891427,Andrew,28801,Downtown Asheville,35.60899,-82.5588,Entire home/apt,100,2,56,2025-06-09,1.48,1,170,7
l_604666093708571392,"Home Theatre, Game Room, Mins to DT AVL & WVL",h_14072158,Patrick,28804,South Asheville,35.64766,-82.58583,Entire home/apt,,2,75,2024-04-26,1.95,1,0,0
l_604938226380337664,Hunnicutt Cabin,h_373668078,Daniel,28805,East Asheville,35.59992,-82.47513,Entire home/apt,120,2,112,2025-06-06,2.99,1,148,18
l_609923958765092608,5 Miles To Downtown Asheville W/Hot Tub,h_455086059,Kyah,28803,Tuxedo Park,35.5578588,-82.4843921,Entire home/apt,175,1,137,2025-06-12,5,3,326,57
l_610265461685785600,The Tremont House,h_49431810,Lisa,28806,West Asheville,35.58221,-82.57548,Entire home/apt,102,3,33,2025-05-18,0.9,1,275,3
l_610560281626401280,10min to dwntwn Pets 5Br 3 King Bds Gameroom,h_439575266,Lindsay,28804,South Asheville,35.6214,-82.57302,Entire home/apt,208,1,91,2025-05-26,2.43,1,345,30
l_612905174746830464,Stylish Woodfin Home w/ Backyard & Fire Pit,h_121681645,Evolve,28804,South Asheville,35.63749,-82.59365,Entire home/apt,88,2,28,2025-06-01,0.75,31,331,7
l_613153352121668608,Convenient Modern 4/2 w/ King Bed + Pet Paradise,h_252417728,Gustavo,28803,Tuxedo Park,35.55642,-82.50919,Entire home/apt,168,2,42,2025-05-28,1.12,4,174,4
l_613700249253498880,"Beautiful farm-near Kayaking, hiking, restaurants",h_261236178,Jennifer,28704,South Asheville,35.4491,-82.563171,Entire home/apt,227,2,10,2024-07-21,0.28,1,320,2
l_616888515375292288,The Convenient Cottage/Asheville Abode,h_375795810,Angela,28806,West Asheville,35.58172,-82.64753,Entire home/apt,105,2,177,2025-06-04,4.66,3,222,29
